id,name_ar,email,membership_type,club_type,source_region_ar,target_region_id,matched_facility_id,match_score,match_type,notes,created_at
1,نادي النجم الأزرق الرياضي,matloy@hotmail.com,نادي تجاري,نادي كرة قدم رجالي,حفر الباطن,eastern_region,,,,,2026-05-02T17:55:42.699146+00:00
2,نادي المدرسة الأسبانية,naifiphone2@icloud.com,نادي تجاري,نادي كرة قدم رجالي,جدة,makkah_region,,,,,2026-05-02T17:55:42.699146+00:00
3,نادي مواهب جدة,mahmeed1289@gmail.com,نادي تجاري,نادي كرة قدم عشبي,جدة,makkah_region,,,,,2026-05-02T17:55:42.699146+00:00
4,نادي الفضل الرياضي,fudoolsociety@gmail.com,نادي تجاري,نادي كرة قدم رجالي,الاحساء,eastern_region,,,,,2026-05-02T17:55:42.699146+00:00
5,نادي مجد القنفذة,magd.qnftha@gmail.com,نادي تجاري,نادي كرة قدم رجالي,جدة,makkah_region,,,,,2026-05-02T17:55:42.699146+00:00
6,نادي شباب طيبة الرياضي,alfarsi880@gmail.com,نادي تجاري,نادي كرة قدم رجالي,المدينة المنورة,madinah_region,,,,,2026-05-02T17:55:42.699146+00:00
7,نادي شباب طيبة الرياضي,Taa@atheeb.sa,نادي تجاري,نادي كرة قدم رجالي,الرياض,riyadh_region,,,,,2026-05-02T17:55:42.699146+00:00
8,نادي المخواة الرياضي,almkhwahnady@gmail.com,نادي تجاري,نادي كرة قدم رجالي,الباحة,al-baha_region,,,,,2026-05-02T17:55:42.699146+00:00
9,نادي بلدة الشعبة الرياضي,essss-50@hotmail.com,نادي تجاري,نادي كرة قدم رجالي,الاحساء,eastern_region,,,,,2026-05-02T17:55:42.699146+00:00
12,نادي نجمة جدة,hafezaka@gmail.com,نادي تجاري,نادي كرة قدم نسائي,جدة,makkah_region,,,,,2026-05-02T17:55:42.699146+00:00
13,نادي منجم المواهب,Salemghulam3@gmail.com,نادي تجاري,نادي كرة قدم نسائي,جدة,makkah_region,,,,,2026-05-02T17:55:42.699146+00:00
14,نادي النسور الذهبية,Goldeneagles.femalesteam@gmail.com,نادي تجاري,نادي كرة قدم نسائي,الرياض,riyadh_region,,,,,2026-05-02T17:55:42.699146+00:00
15,نادي البيرق,nj.zhi@outlook.sa,نادي تجاري,نادي كرة قدم نسائي,الرياض,riyadh_region,,,,,2026-05-02T17:55:42.699146+00:00
16,نادي سهم الرياضي,e.alzubidi@hotmail.com,نادي تجاري,نادي كرة قدم نسائي,جدة,makkah_region,,,,,2026-05-02T17:55:42.699146+00:00
