id,name_en,name_ar,facility_type,latitude,longitude,city_id,region_id,region_name_en,google_rating,google_reviews_count,is_saff_accredited
1,ملاعب ڤيا,ملاعب ڤيا,football_venue,24.5625446,46.7333068,riyadh,riyadh_region,Riyadh,4.3,1270.0,False
2,ملعب كرة القدم,ملعب كرة القدم,outdoor_pitch,24.7000232,46.7473857,riyadh,riyadh_region,Riyadh,4.7,16.0,False
3,اكاديمية لانوس لكرة القدم - فرع الورود,اكاديمية لانوس لكرة القدم - فرع الورود,football_venue,24.7245921,46.6854657,riyadh,riyadh_region,Riyadh,4.7,127.0,False
4,442 Football Park Hayat Mall Riyadh,442 Football Park Hayat Mall Riyadh,football_venue,24.7427736,46.6797742,riyadh,riyadh_region,Riyadh,4.5,44.0,False
5,ملعب كرة قدم,ملعب كرة قدم,outdoor_pitch,24.7102187,46.6274987,riyadh,riyadh_region,Riyadh,4.1,30.0,False
6,ملاعب الأكاديمية,ملاعب الأكاديمية,football_academy,24.8486494,46.6014665,riyadh,riyadh_region,Riyadh,4.1,414.0,False
7,ملاعب الرواد للتأجير بالساعة,ملاعب الرواد للتأجير بالساعة,football_venue,24.78415,46.7259482,riyadh,riyadh_region,Riyadh,4.1,811.0,False
8,ملعب حي الوادي,ملعب حي الوادي,outdoor_pitch,24.788178,46.69805,riyadh,riyadh_region,Riyadh,4.3,363.0,False
9,ملعب كرة القدم الأول,ملعب كرة القدم الأول,outdoor_pitch,24.7582347,46.6170857,riyadh,riyadh_region,Riyadh,4.4,18.0,False
10,ملاعب الوادي,ملاعب الوادي,football_venue,24.6276068,46.6474362,riyadh,riyadh_region,Riyadh,4.2,890.0,False
11,ملاعب السوبر,ملاعب السوبر,football_venue,24.5900263,46.7173795,riyadh,riyadh_region,Riyadh,4.6,175.0,False
12,ملاعب البلدية حي السلام,ملاعب البلدية حي السلام,football_venue,24.7131067,46.8094882,riyadh,riyadh_region,Riyadh,4.0,770.0,False
13,استاد الملك فهد الدولي,استاد الملك فهد الدولي,stadium,24.7886467,46.8390181,riyadh,riyadh_region,Riyadh,4.4,7872.0,False
14,ملاعب المحترفون,ملاعب المحترفون,football_venue,24.692421,46.608272,riyadh,riyadh_region,Riyadh,4.0,459.0,False
15,ملعب كرة قدم,ملعب كرة قدم,outdoor_pitch,24.6802502,46.8025819,riyadh,riyadh_region,Riyadh,4.3,22.0,False
16,جول جونيور,جول جونيور,football_venue,24.7402375,46.6821435,riyadh,riyadh_region,Riyadh,4.5,357.0,False
17,ملعب عرقة الرياضي,ملعب عرقة الرياضي,outdoor_pitch,24.6817674,46.5916563,riyadh,riyadh_region,Riyadh,4.0,413.0,False
18,ملعب كرة قدم,ملعب كرة قدم,outdoor_pitch,24.7408151,46.7390174,riyadh,riyadh_region,Riyadh,4.3,13.0,False
19,نادي النصر السعودي,نادي النصر السعودي,football_club,24.7291857,46.6236326,riyadh,riyadh_region,Riyadh,4.6,920.0,False
20,ملعب كرة القدم,ملعب كرة القدم,outdoor_pitch,24.6900144,46.7027054,riyadh,riyadh_region,Riyadh,4.9,8.0,False
21,استاد الأمير فيصل بن فهد بن عبدالعزيز,استاد الأمير فيصل بن فهد بن عبدالعزيز,stadium,24.6626929,46.739759,riyadh,riyadh_region,Riyadh,4.1,9196.0,False
22,ملعب إس إتش جي أرينا,ملعب إس إتش جي أرينا,stadium,24.8031695,46.6287469,riyadh,riyadh_region,Riyadh,4.3,1087.0,False
23,ملعب عالم الكرة,ملعب عالم الكرة,stadium,24.5661709,46.666857,riyadh,riyadh_region,Riyadh,3.9,38.0,False
24,ملعب الصحافه,ملعب الصحافه,stadium,24.8050652,46.6273314,riyadh,riyadh_region,Riyadh,4.2,220.0,False
